                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3605,                 2.5951,                 1.7315,                0.00418,                   0.99,                0.48867,                0.24291,                 1.0175,                 3.1313,                 1.6208,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.0583,                 2.1485,                 1.5035,                0.00422,                      1,                0.70363,                0.42179,                0.87591,                 3.0039,                  1.477,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.0937,                 1.6234,                 1.5344,                0.00418,                   0.99,                0.56311,                0.34735,                0.87544,                 2.9651,                 1.4641,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.0439,                 1.4081,                 1.4784,                0.00422,                      1,                0.78535,                0.52495,                0.87943,                 2.9309,                  1.477,             0.00035743,             0.00035743,             0.00035743
                      5,                0.97552,                 1.3019,                 1.3963,                      1,                0.14227,                0.82582,                0.55996,                0.98511,                 2.7716,                 1.6428,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.0161,                 1.2649,                 1.4029,                0.97347,                0.36701,                0.83101,                0.55765,                 1.0035,                 2.6292,                 1.6346,             0.00052258,             0.00052258,             0.00052258
                      7,                0.96078,                 1.1979,                 1.3793,                0.91875,                0.67846,                0.80459,                0.45006,                 1.2619,                  2.666,                 2.0015,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.0377,                 1.3097,                 1.4643,                0.92425,                0.73213,                0.81268,                0.54056,                 1.1373,                 2.6078,                  1.778,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.0035,                 1.3544,                 1.4544,                0.87417,                0.76419,                0.82064,                0.46245,                 1.2389,                 2.6418,                 1.8706,             0.00074061,             0.00074061,             0.00074061
                     10,                  1.079,                 1.3324,                  1.465,                0.87876,                   0.74,                0.82158,                0.46736,                 1.2457,                  2.496,                 1.9522,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.0298,                 1.2441,                   1.45,                0.84046,                0.68485,                0.78839,                0.47025,                 1.3071,                 2.2908,                  2.119,             0.00086616,             0.00086616,             0.00086616
                     12,                0.97697,                 1.1541,                 1.3631,                0.82317,                0.65173,                0.76572,                0.48683,                 1.1967,                 2.2271,                 1.8833,               0.000923,               0.000923,               0.000923
                     13,                 1.0419,                 1.2386,                 1.4808,                0.84241,                   0.68,                0.78163,                0.43842,                 1.3446,                  2.243,                 2.0694,             0.00097587,             0.00097587,             0.00097587
                     14,                0.98847,                 1.0982,                 1.3756,                0.69935,                0.62806,                0.69915,                0.39821,                 1.3489,                 2.3366,                 1.9469,              0.0010248,              0.0010248,              0.0010248
                     15,                0.98586,                 1.1598,                 1.3838,                0.74427,                  0.553,                0.71141,                0.36176,                 1.6198,                 2.3324,                 2.3299,              0.0010697,              0.0010697,              0.0010697
                     16,                 1.0028,                  1.154,                 1.3982,                0.75613,                   0.58,                0.66406,                0.30089,                 1.7735,                 2.5464,                 2.7462,              0.0011107,              0.0011107,              0.0011107
                     17,                 1.0285,                 1.0896,                 1.3763,                0.95775,                0.68009,                0.79439,                0.51482,                 1.1748,                 2.1266,                 1.7977,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.0503,                 1.1411,                 1.4123,                0.82112,                0.68856,                0.78289,                0.49151,                 1.1553,                 2.0417,                 1.7831,              0.0011809,              0.0011809,              0.0011809
                     19,                0.99579,                 1.1236,                 1.4222,                0.89646,                   0.66,                0.78945,                0.51702,                 1.0991,                 1.9318,                  1.771,                0.00121,                0.00121,                0.00121
                     20,                 1.0281,                 1.1103,                 1.4219,                0.89417,                0.76043,                0.85694,                0.50677,                 1.3179,                 1.7779,                 2.1314,              0.0012351,              0.0012351,              0.0012351
                     21,                0.95886,                 1.0531,                 1.3819,                0.91996,                   0.75,                0.86825,                0.53137,                  1.329,                 1.7565,                 2.0673,               0.001208,               0.001208,               0.001208
                     22,                 0.9763,                 1.0746,                 1.3916,                0.84098,                   0.77,                0.87158,                0.55363,                 1.2759,                 1.6566,                 1.9625,              0.0011684,              0.0011684,              0.0011684
                     23,                0.94581,                 1.0605,                 1.3952,                0.77456,                   0.79,                0.86842,                0.55012,                 1.1848,                 1.6529,                 1.8462,              0.0011288,              0.0011288,              0.0011288
                     24,                0.96531,                 1.0241,                 1.3525,                0.88187,                   0.81,                0.88329,                0.55658,                 1.1531,                 1.6048,                 1.7756,              0.0010892,              0.0010892,              0.0010892
                     25,                0.91035,                0.99305,                 1.3264,                0.86596,                   0.82,                0.87847,                 0.6117,                 1.0326,                 1.4454,                 1.6521,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0371,                 1.0307,                 1.4259,                0.91109,                   0.81,                0.88655,                0.62965,                0.99428,                 1.4581,                 1.5565,                0.00101,                0.00101,                0.00101
                     27,                0.95055,                 1.0001,                 1.3543,                0.87807,                0.79215,                0.87865,                0.54241,                 1.1563,                   1.64,                 1.6866,              0.0009704,              0.0009704,              0.0009704
                     28,                0.87516,                0.95679,                 1.2932,                0.85992,                   0.77,                0.88485,                0.54884,                  1.122,                 1.7027,                 1.6486,              0.0009308,              0.0009308,              0.0009308
                     29,                0.88829,                0.89896,                 1.2976,                0.89989,                   0.79,                 0.9204,                0.62926,                 1.0498,                 1.5575,                 1.5844,              0.0008912,              0.0008912,              0.0008912
                     30,                0.81102,                0.89005,                 1.2825,                0.85577,                   0.87,                0.92714,                0.63988,                 1.0332,                 1.5496,                 1.5432,              0.0008516,              0.0008516,              0.0008516
                     31,                0.84939,                0.86105,                 1.2579,                0.83087,                   0.89,                0.93419,                0.64354,                0.99613,                 1.4432,                 1.5117,               0.000812,               0.000812,               0.000812
                     32,                0.94587,                 0.9503,                 1.3572,                0.84381,                 0.8644,                0.92282,                0.67771,                 0.9342,                 1.2708,                 1.4635,              0.0007724,              0.0007724,              0.0007724
                     33,                0.82179,                0.84894,                 1.2488,                0.85225,                   0.95,                0.96234,                0.73708,                0.82342,                 1.1828,                 1.3628,              0.0007328,              0.0007328,              0.0007328
                     34,                0.86156,                0.87531,                 1.2774,                0.95971,                0.95284,                 0.9775,                0.75868,                0.81302,                 1.1516,                 1.3712,              0.0006932,              0.0006932,              0.0006932
                     35,                0.83809,                0.83953,                 1.2525,                0.93994,                0.93897,                 0.9767,                0.74058,                 0.8663,                 1.1916,                 1.4316,              0.0006536,              0.0006536,              0.0006536
                     36,                0.83109,                0.82102,                 1.2658,                 0.9637,                   0.96,                0.97624,                0.73556,                0.84685,                 1.0806,                 1.3778,               0.000614,               0.000614,               0.000614
                     37,                0.80566,                0.79849,                 1.2262,                0.93884,                   0.96,                 0.9702,                0.77342,                0.78291,                 1.0523,                 1.2981,              0.0005744,              0.0005744,              0.0005744
                     38,                0.85248,                0.80858,                 1.2993,                0.93234,                0.96454,                0.96824,                0.76406,                0.75975,                  1.041,                  1.252,              0.0005348,              0.0005348,              0.0005348
                     39,                0.69108,                0.75138,                 1.1864,                 0.9599,                 0.9575,                0.97404,                0.77623,                0.75549,                0.99912,                 1.2482,              0.0004952,              0.0004952,              0.0004952
                     40,                0.80732,                0.74136,                 1.2216,                0.98966,                0.95733,                 0.9847,                0.82245,                0.65128,                0.85288,                 1.1867,              0.0004556,              0.0004556,              0.0004556
                     41,                0.67329,                 1.0119,                 1.1921,                      1,                0.96783,                0.98684,                0.82354,                0.65262,                0.83165,                 1.1771,               0.000416,               0.000416,               0.000416
                     42,                0.70416,                 1.0058,                 1.2751,                0.98977,                0.96789,                0.98672,                0.82071,                 0.6539,                0.85973,                 1.1759,              0.0003764,              0.0003764,              0.0003764
                     43,                0.58579,                0.86978,                  1.161,                0.98987,                0.97753,                0.98721,                0.83516,                0.65035,                0.90365,                 1.1775,              0.0003368,              0.0003368,              0.0003368
                     44,                0.63113,                0.90928,                 1.2018,                0.98983,                0.97351,                0.98819,                0.84192,                0.64245,                0.99918,                 1.1669,              0.0002972,              0.0002972,              0.0002972
                     45,                0.56785,                0.83221,                   1.14,                0.98751,                   0.98,                0.98873,                0.83758,                0.62889,                0.98692,                 1.1406,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56003,                0.81403,                  1.137,                0.98987,                 0.9772,                0.98956,                0.85785,                0.59786,                0.95732,                 1.1096,               0.000218,               0.000218,               0.000218
                     47,                0.54395,                0.80161,                 1.1205,                0.96081,                0.98065,                0.98759,                0.86256,                0.56781,                 0.9059,                 1.0793,              0.0001784,              0.0001784,              0.0001784
                     48,                0.53979,                0.77029,                 1.1203,                0.98014,                0.98684,                0.98777,                0.87132,                0.54805,                0.84943,                 1.0564,              0.0001388,              0.0001388,              0.0001388
                     49,                0.50067,                0.73816,                 1.0795,                0.97798,                   0.99,                0.99027,                0.87947,                0.54246,                0.82928,                 1.0492,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53911,                0.73927,                 1.1501,                0.97776,                   0.99,                0.99049,                0.87862,                0.53559,                0.81607,                 1.0432,               5.96e-05,               5.96e-05,               5.96e-05
